Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2022-0654-MLI,2022,0654,,Natural,Hydrological,Flood,,,,Mali,MLI,Western Africa,Africa,Mopti region,Heavy rain,,,,,,,,Km2,,,,Bani river,2022,9,23,2022,9,28,10,12,79000,,79012,,,,,,,,1,1931,,Mopti (Adm1).
2022-0497-MNG,2022,0497,FF-2022-000278,Natural,Hydrological,Flood,Flash flood,,,Mongolia,MNG,Eastern Asia,Asia,"Arkhangai, Bulgan, Khuvsgul, Orkhon, Darkhan-Uul, Selenge provinces; Bayanzurkh, Songinokhairkhan, Chingeltei, Bayangol, Sukhbaatar, Khan-Uul (Ulaanbaatar)",Heavy rains,,,,,,,,Km2,,,,,2022,6,,2022,7,26,,,4269,,4269,,,,,,,,1;2,2075;2078;2079;2090;2092,123575;123597;123598;123599;123600,"Arxangai, Bulgan, Darxan-Uul, Orxon, Selenge (Adm1). Bayanzu'rx, Chingeltei, Songinoxairxan, Su'xbaatar, Xan-Uul (Adm2)."
2022-0546-MRT,2022,0546,FL-2022-000286,Natural,Hydrological,Flood,,,,Mauritania,MRT,Western Africa,Africa,"Néma, Aioun, Tintane, Kiffa, Boumdeid, Guerou, Barkéol, Moudjeria, M'bout, Monguel, Aoujeft, F'deirick, Rosso",Heavy rains,,,,,,,,Km2,,,,,2022,7,25,2022,8,3,14,,28926,,28926,,,,,,,,2,,19490;19494;19496;19498;19506;19508;19514;19517;19523;19527;19534,"Aioun, Aoujeft, Barkeol, F'Derik, Guerrou, Kiffa, M'Bout, Monguel, Moudjeria, Nema, Rosso (Adm2)."
2022-0553-MWI,2022,0553,EP-2022-000298,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Malawi,MWI,Eastern Africa,Africa,"Machinga, Nsanje Chikwawa, Blantyre, Mulanje, Neno, Balaka, Lilongwe, Nkhatabay, Nkhotakota, Phalombe, Mangochi, Rumphi, Mzuzu, Balaka",,,,,,,,,Vaccinated,,,,,2022,3,3,2022,10,,163,5285,,,5285,,,,,,,,,,,
2022-0184-MWI,2022,0184,SS-2021000196,Natural,Biological,Epidemic,Viral disease,,Polio,Malawi,MWI,Eastern Africa,Africa,,,,,,,Yes,,,Vaccinated,,,,,2022,2,17,2022,3,31,,,,,,,,,,,,,,,,
2022-0408-MYS,2022,0408,,Natural,Hydrological,Flood,,,,Malaysia,MYS,South-Eastern Asia,Asia,Baling District (eastern Kedah State),Heavy rains,,,,,,,,Km2,,,,Ketil River,2022,7,4,2022,7,7,3,,210,18,228,,,,,,,,2,,37345,Baling (Adm2).
2022-0732-MYS,2022,0732,,Natural,Hydrological,Flood,,,,Malaysia,MYS,South-Eastern Asia,Asia,"Kelantan, Pahang, Pulau Pinang, Perak, Selangor, Melaka, and Johor in the Malay Peninsula and Sabah State on Borneo Island",Heavy rains,,,,,,,,Km2,,,,,2022,11,8,2022,11,15,,,,,,,,,,,,,1,1891;1893;1895;1897;1898;1900;1901;1903,,"Johor, Kelantan, Melaka, Pahang, Perak, Pulau Pinang, Sabah, Selangor (Adm1)."
2022-0257-NGA,2022,0257,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Nigeria,NGA,Western Africa,Africa,"Mutum Biyu Town area (Gassol Local Government, Taraba State)",,,,,,,,,Kph,,,,,2022,4,30,2022,4,30,7,,,1500,1500,,,,,,,,2,,191160,Gassol (Adm2).
2022-0641-NGA,2022,0641,,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Nigeria,NGA,Western Africa,Africa,"Dikwa, Bama, Jere and Konduga (Borno state)",,,,,,,,,Vaccinated,,,,,2022,,,2022,10,5,178,5000,,,5000,,,,,,,,,,,
2022-0674-NGA,2022,0674,FL-2022-000271,Natural,Hydrological,Flood,,,,Nigeria,NGA,Western Africa,Africa,"Anambra, Delta, Cross River, Rivers, Benue, Borno, Enugu, Imo, Kebbi, Kogi, Lagos, Nasarawa, Niger, Rivers,Taraba, and Yobe states",Heavy rains,,,,,,,,Km2,,,,,2022,8,,2022,10,,603,2500,2800000,,2802500,,,,,,,,1,2211;2212;2213;2215;2216;2217;2218;2222;2227;2228;2230;2231;2239;2240;65700;65703;65705;65708,,"Adamawa, Akwa Ibom, Anambra, Bayelsa, Benue, Borno, Cross River, Delta, Enugu, Imo, Kebbi, Kogi, Lagos, Nassarawa, Niger, Rivers, Taraba, Yobe (Adm1)."
